id,name,gmt_offset,dst_offset,raw_offset
154,US	America/New_York,-5.0,-4.0,-5.0
155,US	America/Nome,-9.0,-8.0,-9.0
156,BR	America/Noronha,-2.0,-2.0,-2.0
157,US	America/North_Dakota/Beulah,-6.0,-5.0,-6.0
158,US	America/North_Dakota/Center,-6.0,-5.0,-6.0
159,US	America/North_Dakota/New_Salem,-6.0,-5.0,-6.0
160,GL	America/Nuuk,-2.0,-1.0,-2.0
161,MX	America/Ojinaga,-6.0,-5.0,-6.0
162,PA	America/Panama,-5.0,-5.0,-5.0
163,SR	America/Paramaribo,-3.0,-3.0,-3.0
164,US	America/Phoenix,-7.0,-7.0,-7.0
165,HT	America/Port-au-Prince,-5.0,-4.0,-5.0
166,TT	America/Port_of_Spain,-4.0,-4.0,-4.0
167,BR	America/Porto_Velho,-4.0,-4.0,-4.0
168,PR	America/Puerto_Rico,-4.0,-4.0,-4.0
169,CL	America/Punta_Arenas,-3.0,-3.0,-3.0
170,CA	America/Rankin_Inlet,-6.0,-5.0,-6.0
171,BR	America/Recife,-3.0,-3.0,-3.0
172,CA	America/Regina,-6.0,-6.0,-6.0
173,CA	America/Resolute,-6.0,-5.0,-6.0
174,BR	America/Rio_Branco,-5.0,-5.0,-5.0
175,BR	America/Santarem,-3.0,-3.0,-3.0
176,CL	America/Santiago,-3.0,-4.0,-4.0
177,DO	America/Santo_Domingo,-4.0,-4.0,-4.0
178,BR	America/Sao_Paulo,-3.0,-3.0,-3.0
179,GL	America/Scoresbysund,-2.0,-1.0,-2.0
180,US	America/Sitka,-9.0,-8.0,-9.0
181,BL	America/St_Barthelemy,-4.0,-4.0,-4.0
182,CA	America/St_Johns,-3.5,-2.5,-3.5
183,KN	America/St_Kitts,-4.0,-4.0,-4.0
184,LC	America/St_Lucia,-4.0,-4.0,-4.0
185,VI	America/St_Thomas,-4.0,-4.0,-4.0
186,VC	America/St_Vincent,-4.0,-4.0,-4.0
187,CA	America/Swift_Current,-6.0,-6.0,-6.0
188,HN	America/Tegucigalpa,-6.0,-6.0,-6.0
189,GL	America/Thule,-4.0,-3.0,-4.0
190,MX	America/Tijuana,-8.0,-7.0,-8.0
191,CA	America/Toronto,-5.0,-4.0,-5.0
192,VG	America/Tortola,-4.0,-4.0,-4.0
193,CA	America/Vancouver,-8.0,-7.0,-8.0
194,CA	America/Whitehorse,-7.0,-7.0,-7.0
195,CA	America/Winnipeg,-6.0,-5.0,-6.0
196,US	America/Yakutat,-9.0,-8.0,-9.0
197,AQ	Antarctica/Casey,8.0,8.0,8.0
198,AQ	Antarctica/Davis,7.0,7.0,7.0
199,AQ	Antarctica/DumontDUrville,10.0,10.0,10.0
200,AU	Antarctica/Macquarie,11.0,10.0,10.0
201,AQ	Antarctica/Mawson,5.0,5.0,5.0
202,AQ	Antarctica/McMurdo,13.0,12.0,12.0
203,AQ	Antarctica/Palmer,-3.0,-3.0,-3.0
204,AQ	Antarctica/Rothera,-3.0,-3.0,-3.0
205,AQ	Antarctica/Syowa,3.0,3.0,3.0
206,AQ	Antarctica/Troll,0.0,2.0,0.0
207,AQ	Antarctica/Vostok,5.0,5.0,5.0
208,SJ	Arctic/Longyearbyen,1.0,2.0,1.0
209,YE	Asia/Aden,3.0,3.0,3.0
210,KZ	Asia/Almaty,5.0,5.0,5.0
211,JO	Asia/Amman,3.0,3.0,3.0
212,RU	Asia/Anadyr,12.0,12.0,12.0
213,KZ	Asia/Aqtau,5.0,5.0,5.0
214,KZ	Asia/Aqtobe,5.0,5.0,5.0
215,TM	Asia/Ashgabat,5.0,5.0,5.0
216,KZ	Asia/Atyrau,5.0,5.0,5.0
217,IQ	Asia/Baghdad,3.0,3.0,3.0
218,BH	Asia/Bahrain,3.0,3.0,3.0
219,AZ	Asia/Baku,4.0,4.0,4.0
220,TH	Asia/Bangkok,7.0,7.0,7.0
221,RU	Asia/Barnaul,7.0,7.0,7.0
222,LB	Asia/Beirut,2.0,3.0,2.0
223,KG	Asia/Bishkek,6.0,6.0,6.0
224,BN	Asia/Brunei,8.0,8.0,8.0
225,RU	Asia/Chita,9.0,9.0,9.0
226,LK	Asia/Colombo,5.5,5.5,5.5
227,SY	Asia/Damascus,3.0,3.0,3.0
228,BD	Asia/Dhaka,6.0,6.0,6.0
229,TL	Asia/Dili,9.0,9.0,9.0
230,AE	Asia/Dubai,4.0,4.0,4.0
231,TJ	Asia/Dushanbe,5.0,5.0,5.0
232,CY	Asia/Famagusta,2.0,3.0,2.0
233,PS	Asia/Gaza,2.0,3.0,2.0
234,PS	Asia/Hebron,2.0,3.0,2.0
235,VN	Asia/Ho_Chi_Minh,7.0,7.0,7.0
236,HK	Asia/Hong_Kong,8.0,8.0,8.0
237,MN	Asia/Hovd,7.0,7.0,7.0
238,RU	Asia/Irkutsk,8.0,8.0,8.0
239,ID	Asia/Jakarta,7.0,7.0,7.0
240,ID	Asia/Jayapura,9.0,9.0,9.0
241,IL	Asia/Jerusalem,2.0,3.0,2.0
242,AF	Asia/Kabul,4.5,4.5,4.5
243,RU	Asia/Kamchatka,12.0,12.0,12.0
244,PK	Asia/Karachi,5.0,5.0,5.0
245,NP	Asia/Kathmandu,5.75,5.75,5.75
246,RU	Asia/Khandyga,9.0,9.0,9.0
247,IN	Asia/Kolkata,5.5,5.5,5.5
248,RU	Asia/Krasnoyarsk,7.0,7.0,7.0
249,MY	Asia/Kuala_Lumpur,8.0,8.0,8.0
250,MY	Asia/Kuching,8.0,8.0,8.0
251,KW	Asia/Kuwait,3.0,3.0,3.0
252,MO	Asia/Macau,8.0,8.0,8.0
253,RU	Asia/Magadan,11.0,11.0,11.0
254,ID	Asia/Makassar,8.0,8.0,8.0
255,PH	Asia/Manila,8.0,8.0,8.0
256,OM	Asia/Muscat,4.0,4.0,4.0
257,CY	Asia/Nicosia,2.0,3.0,2.0
258,RU	Asia/Novokuznetsk,7.0,7.0,7.0
259,RU	Asia/Novosibirsk,7.0,7.0,7.0
260,RU	Asia/Omsk,6.0,6.0,6.0
261,KZ	Asia/Oral,5.0,5.0,5.0
262,KH	Asia/Phnom_Penh,7.0,7.0,7.0
263,ID	Asia/Pontianak,7.0,7.0,7.0
264,KP	Asia/Pyongyang,9.0,9.0,9.0
265,QA	Asia/Qatar,3.0,3.0,3.0
266,KZ	Asia/Qostanay,5.0,5.0,5.0
267,KZ	Asia/Qyzylorda,5.0,5.0,5.0
268,SA	Asia/Riyadh,3.0,3.0,3.0
269,RU	Asia/Sakhalin,11.0,11.0,11.0
270,UZ	Asia/Samarkand,5.0,5.0,5.0
271,KR	Asia/Seoul,9.0,9.0,9.0
272,CN	Asia/Shanghai,8.0,8.0,8.0
273,SG	Asia/Singapore,8.0,8.0,8.0
274,RU	Asia/Srednekolymsk,11.0,11.0,11.0
275,TW	Asia/Taipei,8.0,8.0,8.0
276,UZ	Asia/Tashkent,5.0,5.0,5.0
277,GE	Asia/Tbilisi,4.0,4.0,4.0
278,IR	Asia/Tehran,3.5,3.5,3.5
279,BT	Asia/Thimphu,6.0,6.0,6.0
280,JP	Asia/Tokyo,9.0,9.0,9.0
281,RU	Asia/Tomsk,7.0,7.0,7.0
282,MN	Asia/Ulaanbaatar,8.0,8.0,8.0
283,CN	Asia/Urumqi,6.0,6.0,6.0
284,RU	Asia/Ust-Nera,10.0,10.0,10.0
285,LA	Asia/Vientiane,7.0,7.0,7.0
286,RU	Asia/Vladivostok,10.0,10.0,10.0
287,RU	Asia/Yakutsk,9.0,9.0,9.0
288,MM	Asia/Yangon,6.5,6.5,6.5
289,RU	Asia/Yekaterinburg,5.0,5.0,5.0
290,AM	Asia/Yerevan,4.0,4.0,4.0
291,PT	Atlantic/Azores,-1.0,0.0,-1.0
292,BM	Atlantic/Bermuda,-4.0,-3.0,-4.0
293,ES	Atlantic/Canary,0.0,1.0,0.0
294,CV	Atlantic/Cape_Verde,-1.0,-1.0,-1.0
295,FO	Atlantic/Faroe,0.0,1.0,0.0
296,PT	Atlantic/Madeira,0.0,1.0,0.0
297,IS	Atlantic/Reykjavik,0.0,0.0,0.0
298,GS	Atlantic/South_Georgia,-2.0,-2.0,-2.0
299,SH	Atlantic/St_Helena,0.0,0.0,0.0
300,FK	Atlantic/Stanley,-3.0,-3.0,-3.0
301,AU	Australia/Adelaide,10.5,9.5,9.5
302,AU	Australia/Brisbane,10.0,10.0,10.0
303,AU	Australia/Broken_Hill,10.5,9.5,9.5
304,AU	Australia/Darwin,9.5,9.5,9.5
305,AU	Australia/Eucla,8.75,8.75,8.75
306,AU	Australia/Hobart,11.0,10.0,10.0
307,AU	Australia/Lindeman,10.0,10.0,10.0
308,AU	Australia/Lord_Howe,11.0,10.5,10.5
309,AU	Australia/Melbourne,11.0,10.0,10.0
310,AU	Australia/Perth,8.0,8.0,8.0
311,AU	Australia/Sydney,11.0,10.0,10.0
312,NL	Europe/Amsterdam,1.0,2.0,1.0
313,AD	Europe/Andorra,1.0,2.0,1.0
314,RU	Europe/Astrakhan,4.0,4.0,4.0
315,GR	Europe/Athens,2.0,3.0,2.0
316,RS	Europe/Belgrade,1.0,2.0,1.0
317,DE	Europe/Berlin,1.0,2.0,1.0
318,SK	Europe/Bratislava,1.0,2.0,1.0
319,BE	Europe/Brussels,1.0,2.0,1.0
320,RO	Europe/Bucharest,2.0,3.0,2.0
321,HU	Europe/Budapest,1.0,2.0,1.0
322,DE	Europe/Busingen,1.0,2.0,1.0
323,MD	Europe/Chisinau,2.0,3.0,2.0
324,DK	Europe/Copenhagen,1.0,2.0,1.0
325,IE	Europe/Dublin,0.0,1.0,0.0
326,GI	Europe/Gibraltar,1.0,2.0,1.0
327,GG	Europe/Guernsey,0.0,1.0,0.0
328,FI	Europe/Helsinki,2.0,3.0,2.0
329,IM	Europe/Isle_of_Man,0.0,1.0,0.0
330,TR	Europe/Istanbul,3.0,3.0,3.0
331,JE	Europe/Jersey,0.0,1.0,0.0
332,RU	Europe/Kaliningrad,2.0,2.0,2.0
333,RU	Europe/Kirov,3.0,3.0,3.0
334,UA	Europe/Kyiv,2.0,3.0,2.0
335,PT	Europe/Lisbon,0.0,1.0,0.0
336,SI	Europe/Ljubljana,1.0,2.0,1.0
337,GB	Europe/London,0.0,1.0,0.0
338,LU	Europe/Luxembourg,1.0,2.0,1.0
339,ES	Europe/Madrid,1.0,2.0,1.0
340,MT	Europe/Malta,1.0,2.0,1.0
341,AX	Europe/Mariehamn,2.0,3.0,2.0
342,BY	Europe/Minsk,3.0,3.0,3.0
343,MC	Europe/Monaco,1.0,2.0,1.0
344,RU	Europe/Moscow,3.0,3.0,3.0
345,NO	Europe/Oslo,1.0,2.0,1.0
346,FR	Europe/Paris,1.0,2.0,1.0
347,ME	Europe/Podgorica,1.0,2.0,1.0
348,CZ	Europe/Prague,1.0,2.0,1.0
349,LV	Europe/Riga,2.0,3.0,2.0
350,IT	Europe/Rome,1.0,2.0,1.0
351,RU	Europe/Samara,4.0,4.0,4.0
352,SM	Europe/San_Marino,1.0,2.0,1.0
353,BA	Europe/Sarajevo,1.0,2.0,1.0
354,RU	Europe/Saratov,4.0,4.0,4.0
355,UA	Europe/Simferopol,3.0,3.0,3.0
356,MK	Europe/Skopje,1.0,2.0,1.0
357,BG	Europe/Sofia,2.0,3.0,2.0
358,SE	Europe/Stockholm,1.0,2.0,1.0
359,EE	Europe/Tallinn,2.0,3.0,2.0
360,AL	Europe/Tirane,1.0,2.0,1.0
361,RU	Europe/Ulyanovsk,4.0,4.0,4.0
362,LI	Europe/Vaduz,1.0,2.0,1.0
363,VA	Europe/Vatican,1.0,2.0,1.0
364,AT	Europe/Vienna,1.0,2.0,1.0
365,LT	Europe/Vilnius,2.0,3.0,2.0
366,RU	Europe/Volgograd,3.0,3.0,3.0
367,PL	Europe/Warsaw,1.0,2.0,1.0
368,HR	Europe/Zagreb,1.0,2.0,1.0
369,CH	Europe/Zurich,1.0,2.0,1.0
370,MG	Indian/Antananarivo,3.0,3.0,3.0
371,IO	Indian/Chagos,6.0,6.0,6.0
372,CX	Indian/Christmas,7.0,7.0,7.0
373,CC	Indian/Cocos,6.5,6.5,6.5
374,KM	Indian/Comoro,3.0,3.0,3.0
375,TF	Indian/Kerguelen,5.0,5.0,5.0
376,SC	Indian/Mahe,4.0,4.0,4.0
377,MV	Indian/Maldives,5.0,5.0,5.0
378,MU	Indian/Mauritius,4.0,4.0,4.0
379,YT	Indian/Mayotte,3.0,3.0,3.0
380,RE	Indian/Reunion,4.0,4.0,4.0
381,WS	Pacific/Apia,13.0,13.0,13.0
382,NZ	Pacific/Auckland,13.0,12.0,12.0
383,PG	Pacific/Bougainville,11.0,11.0,11.0
384,NZ	Pacific/Chatham,13.75,12.75,12.75
385,FM	Pacific/Chuuk,10.0,10.0,10.0
386,CL	Pacific/Easter,-5.0,-6.0,-6.0
387,VU	Pacific/Efate,11.0,11.0,11.0
388,TK	Pacific/Fakaofo,13.0,13.0,13.0
389,FJ	Pacific/Fiji,12.0,12.0,12.0
390,TV	Pacific/Funafuti,12.0,12.0,12.0
391,EC	Pacific/Galapagos,-6.0,-6.0,-6.0
392,PF	Pacific/Gambier,-9.0,-9.0,-9.0
393,SB	Pacific/Guadalcanal,11.0,11.0,11.0
394,GU	Pacific/Guam,10.0,10.0,10.0
395,US	Pacific/Honolulu,-10.0,-10.0,-10.0
396,KI	Pacific/Kanton,13.0,13.0,13.0
397,KI	Pacific/Kiritimati,14.0,14.0,14.0
398,FM	Pacific/Kosrae,11.0,11.0,11.0
399,MH	Pacific/Kwajalein,12.0,12.0,12.0
400,MH	Pacific/Majuro,12.0,12.0,12.0
401,PF	Pacific/Marquesas,-9.5,-9.5,-9.5
402,UM	Pacific/Midway,-11.0,-11.0,-11.0
403,NR	Pacific/Nauru,12.0,12.0,12.0
404,NU	Pacific/Niue,-11.0,-11.0,-11.0
405,NF	Pacific/Norfolk,12.0,11.0,11.0
406,NC	Pacific/Noumea,11.0,11.0,11.0
407,AS	Pacific/Pago_Pago,-11.0,-11.0,-11.0
408,PW	Pacific/Palau,9.0,9.0,9.0
409,PN	Pacific/Pitcairn,-8.0,-8.0,-8.0
410,FM	Pacific/Pohnpei,11.0,11.0,11.0
411,PG	Pacific/Port_Moresby,10.0,10.0,10.0
412,CK	Pacific/Rarotonga,-10.0,-10.0,-10.0
413,MP	Pacific/Saipan,10.0,10.0,10.0
414,PF	Pacific/Tahiti,-10.0,-10.0,-10.0
415,KI	Pacific/Tarawa,12.0,12.0,12.0
416,TO	Pacific/Tongatapu,13.0,13.0,13.0
417,UM	Pacific/Wake,12.0,12.0,12.0
418,WF	Pacific/Wallis,12.0,12.0,12.0
